"Step","uniformbenford - test_arithmetic_perfect","uniformbenford - test_arithmetic_perfect__MIN","uniformbenford - test_arithmetic_perfect__MAX"
"0","15.92","15.92","15.92"
"1","19.01","19.01","19.01"
"2","24.1","24.1","24.1"
"3","25.85","25.85","25.85"
"4","27.23","27.23","27.23"
"5","30.34","30.34","30.34"
"6","32.62","32.62","32.62"
"7","33.1","33.1","33.1"
"8","33.34","33.34","33.34"
"9","33.76","33.76","33.76"
"10","34.91","34.91","34.91"
"11","34.51","34.51","34.51"
"12","34.59","34.59","34.59"
"13","33.51","33.51","33.51"
"14","35.09","35.09","35.09"
"15","34.84","34.84","34.84"
"16","33.77","33.77","33.77"
"17","33.17","33.17","33.17"
"18","33.76","33.76","33.76"
"19","34.88","34.88","34.88"
"20","34.36","34.36","34.36"
"21","34.03","34.03","34.03"
"22","35.05","35.05","35.05"
"23","35.64","35.64","35.64"
"24","34.65","34.65","34.65"
"25","35.42","35.42","35.42"
"26","34.43","34.43","34.43"
"27","34.19","34.19","34.19"
"28","34.36","34.36","34.36"
"29","35.31","35.31","35.31"
"30","35.88","35.88","35.88"
"31","35.29","35.29","35.29"
"32","34.88","34.88","34.88"
"33","35.59","35.59","35.59"
"34","37.6","37.6","37.6"
"35","35.2","35.2","35.2"
"36","35.41","35.41","35.41"
"37","36","36","36"
"38","37.66","37.66","37.66"
"39","37.15","37.15","37.15"
"40","38.04","38.04","38.04"
"41","39.99","39.99","39.99"
"42","39.35","39.35","39.35"
"43","39.36","39.36","39.36"
"44","40.1","40.1","40.1"
"45","40.11","40.11","40.11"
"46","41.17","41.17","41.17"
"47","38.76","38.76","38.76"
"48","39.94","39.94","39.94"
"49","40.12","40.12","40.12"
"50","41.26","41.26","41.26"
"51","41.25","41.25","41.25"
"52","41.48","41.48","41.48"
"53","40.12","40.12","40.12"
"54","41.86","41.86","41.86"
"55","40.24","40.24","40.24"
"56","41.91","41.91","41.91"
"57","42.46","42.46","42.46"
"58","43.33","43.33","43.33"
"59","41.35","41.35","41.35"
"60","40.77","40.77","40.77"
"61","42.86","42.86","42.86"
"62","40.57","40.57","40.57"
"63","40.32","40.32","40.32"
"64","41.88","41.88","41.88"
"65","43.96","43.96","43.96"
"66","42.18","42.18","42.18"
"67","41.06","41.06","41.06"
"68","42.24","42.24","42.24"
"69","41.74","41.74","41.74"
"70","42.45","42.45","42.45"
"71","42.04","42.04","42.04"
"72","42.59","42.59","42.59"
"73","42.72","42.72","42.72"
"74","42.73","42.73","42.73"
"75","43.45","43.45","43.45"
"76","43.57","43.57","43.57"
"77","42.89","42.89","42.89"
"78","44.42","44.42","44.42"
"79","43.97","43.97","43.97"
"80","44.57","44.57","44.57"
"81","44.69","44.69","44.69"
"82","43.15","43.15","43.15"
"83","46","46","46"
"84","46.08","46.08","46.08"
"85","44.78","44.78","44.78"
"86","45.67","45.67","45.67"
"87","46.06","46.06","46.06"
"88","46.79","46.79","46.79"
"89","45.6","45.6","45.6"
"90","46.13","46.13","46.13"
"91","46.94","46.94","46.94"
"92","47.51","47.51","47.51"
"93","46.94","46.94","46.94"
"94","46.96","46.96","46.96"
