"Step","uniformbenford - valid_arithmetic_perfect","uniformbenford - valid_arithmetic_perfect__MIN","uniformbenford - valid_arithmetic_perfect__MAX"
"0","13.94","13.94","13.94"
"1","17.42","17.42","17.42"
"2","22.23","22.23","22.23"
"3","23.75","23.75","23.75"
"4","26.72","26.72","26.72"
"5","28.75","28.75","28.75"
"6","33.84","33.84","33.84"
"7","36.33","36.33","36.33"
"8","36.12","36.12","36.12"
"9","35.62","35.62","35.62"
"10","35.62","35.62","35.62"
"11","36.43","36.43","36.43"
"12","36.14","36.14","36.14"
"13","36.01","36.01","36.01"
"14","36.19","36.19","36.19"
"15","36.01","36.01","36.01"
"16","35.04","35.04","35.04"
"17","36.73","36.73","36.73"
"18","36.37","36.37","36.37"
"19","36.44","36.44","36.44"
"20","36.67","36.67","36.67"
"21","37.45","37.45","37.45"
"22","35.32","35.32","35.32"
"23","36.19","36.19","36.19"
"24","36.53","36.53","36.53"
"25","35.18","35.18","35.18"
"26","35.66","35.66","35.66"
"27","36.31","36.31","36.31"
"28","35.89","35.89","35.89"
"29","37.1","37.1","37.1"
"30","38.08","38.08","38.08"
"31","38.91","38.91","38.91"
"32","37.94","37.94","37.94"
"33","37.98","37.98","37.98"
"34","39.54","39.54","39.54"
"35","38.8","38.8","38.8"
"36","39.54","39.54","39.54"
"37","39.79","39.79","39.79"
"38","39.01","39.01","39.01"
"39","40.43","40.43","40.43"
"40","41.11","41.11","41.11"
"41","40.89","40.89","40.89"
"42","42.41","42.41","42.41"
"43","42.42","42.42","42.42"
"44","44.09","44.09","44.09"
"45","43.3","43.3","43.3"
"46","44.5","44.5","44.5"
"47","44.28","44.28","44.28"
"48","43.85","43.85","43.85"
"49","43.85","43.85","43.85"
"50","44.74","44.74","44.74"
"51","45.08","45.08","45.08"
"52","45.19","45.19","45.19"
"53","44.81","44.81","44.81"
"54","46.94","46.94","46.94"
"55","44.43","44.43","44.43"
"56","45.07","45.07","45.07"
"57","45","45","45"
"58","45.8","45.8","45.8"
"59","45.19","45.19","45.19"
"60","44.73","44.73","44.73"
"61","46.26","46.26","46.26"
"62","46.22","46.22","46.22"
"63","45.36","45.36","45.36"
"64","45.19","45.19","45.19"
"65","45.24","45.24","45.24"
"66","46.19","46.19","46.19"
"67","45.08","45.08","45.08"
"68","46.86","46.86","46.86"
"69","46.28","46.28","46.28"
"70","46.46","46.46","46.46"
"71","46.15","46.15","46.15"
"72","46.99","46.99","46.99"
"73","45.74","45.74","45.74"
"74","47","47","47"
"75","46.55","46.55","46.55"
"76","47.32","47.32","47.32"
"77","47.35","47.35","47.35"
"78","47.18","47.18","47.18"
"79","47.16","47.16","47.16"
"80","46.91","46.91","46.91"
"81","48.59","48.59","48.59"
"82","48.87","48.87","48.87"
"83","48.4","48.4","48.4"
"84","49.19","49.19","49.19"
"85","48.99","48.99","48.99"
"86","49.23","49.23","49.23"
"87","49.61","49.61","49.61"
"88","49.63","49.63","49.63"
"89","49.86","49.86","49.86"
"90","51.48","51.48","51.48"
"91","50.4","50.4","50.4"
"92","50.13","50.13","50.13"
"93","50.85","50.85","50.85"
"94","50.81","50.81","50.81"
"95","51.14","51.14","51.14"
"96","52.44","52.44","52.44"
"97","52.1","52.1","52.1"
"98","52.39","52.39","52.39"
"99","52.14","52.14","52.14"
"100","53.44","53.44","53.44"
"101","53.43","53.43","53.43"
"102","53.66","53.66","53.66"
"103","53.38","53.38","53.38"
"104","53.23","53.23","53.23"
"105","54.12","54.12","54.12"
"106","52.68","52.68","52.68"
"107","53.65","53.65","53.65"
"108","53.51","53.51","53.51"
"109","53.91","53.91","53.91"
"110","53.65","53.65","53.65"
"111","54.71","54.71","54.71"
"112","53.96","53.96","53.96"
"113","54.44","54.44","54.44"
"114","54.79","54.79","54.79"
"115","54.2","54.2","54.2"
"116","53.56","53.56","53.56"
"117","54.31","54.31","54.31"
"118","53.64","53.64","53.64"
"119","54.59","54.59","54.59"
"120","55.5","55.5","55.5"
"121","54.31","54.31","54.31"
"122","53.97","53.97","53.97"
"123","54.78","54.78","54.78"
"124","54.74","54.74","54.74"
"125","54.48","54.48","54.48"
"126","55.08","55.08","55.08"
"127","54.82","54.82","54.82"
"128","54.01","54.01","54.01"
"129","54.69","54.69","54.69"
"130","53.98","53.98","53.98"
"131","54.31","54.31","54.31"
"132","53.4","53.4","53.4"
"133","54.36","54.36","54.36"
"134","55.05","55.05","55.05"
"135","54.81","54.81","54.81"
"136","55.45","55.45","55.45"
"137","55.82","55.82","55.82"
"138","54.85","54.85","54.85"
"139","54.8","54.8","54.8"
"140","55.7","55.7","55.7"
"141","55.65","55.65","55.65"
"142","55.24","55.24","55.24"
"143","54.79","54.79","54.79"
"144","56.52","56.52","56.52"
"145","55.74","55.74","55.74"
"146","57.13","57.13","57.13"
"147","55.95","55.95","55.95"
"148","56.11","56.11","56.11"
"149","56.38","56.38","56.38"
"150","56.95","56.95","56.95"
"151","55.48","55.48","55.48"
"152","55.82","55.82","55.82"
"153","56.59","56.59","56.59"
"154","57.54","57.54","57.54"
"155","56.75","56.75","56.75"
"156","56.32","56.32","56.32"
"157","56.69","56.69","56.69"
"158","57.23","57.23","57.23"
"159","56","56","56"
"160","57.21","57.21","57.21"
"161","56.79","56.79","56.79"
"162","56.46","56.46","56.46"
"163","56.89","56.89","56.89"
"164","57.32","57.32","57.32"
"165","57.66","57.66","57.66"
"166","57.66","57.66","57.66"
"167","57.57","57.57","57.57"
"168","56.69","56.69","56.69"
"169","57.88","57.88","57.88"
"170","57.38","57.38","57.38"
"171","57.43","57.43","57.43"
"172","56.82","56.82","56.82"
"173","57.71","57.71","57.71"
"174","57.19","57.19","57.19"
"175","58.27","58.27","58.27"
"176","58.19","58.19","58.19"
"177","57.57","57.57","57.57"
"178","57.42","57.42","57.42"
"179","58.87","58.87","58.87"
"180","58.31","58.31","58.31"
"181","59.73","59.73","59.73"
"182","58.52","58.52","58.52"
"183","58.69","58.69","58.69"
"184","59.52","59.52","59.52"
"185","58.58","58.58","58.58"
"186","57.63","57.63","57.63"
"187","59.91","59.91","59.91"
"188","59.01","59.01","59.01"
"189","58.43","58.43","58.43"
"190","58.98","58.98","58.98"
"191","58.88","58.88","58.88"
"192","58.36","58.36","58.36"
"193","58.96","58.96","58.96"
"194","60.32","60.32","60.32"
"195","59.41","59.41","59.41"
"196","59.94","59.94","59.94"
"197","59.59","59.59","59.59"
"198","60.79","60.79","60.79"
"199","59.72","59.72","59.72"
"200","59.96","59.96","59.96"
"201","59.87","59.87","59.87"
"202","60.54","60.54","60.54"
"203","60.29","60.29","60.29"
"204","60.36","60.36","60.36"
"205","61.58","61.58","61.58"
"206","60.55","60.55","60.55"
"207","61.93","61.93","61.93"
"208","60.86","60.86","60.86"
"209","61.37","61.37","61.37"
"210","61.07","61.07","61.07"
"211","61.9","61.9","61.9"
"212","61.59","61.59","61.59"
"213","61.86","61.86","61.86"
"214","62.01","62.01","62.01"
"215","61.84","61.84","61.84"
"216","62.07","62.07","62.07"
"217","62.25","62.25","62.25"
"218","61.95","61.95","61.95"
"219","62.07","62.07","62.07"
"220","62.56","62.56","62.56"
"221","63.34","63.34","63.34"
"222","62.14","62.14","62.14"
"223","62.31","62.31","62.31"
"224","62.02","62.02","62.02"
"225","62.33","62.33","62.33"
"226","62.88","62.88","62.88"
"227","63.08","63.08","63.08"
"228","62.67","62.67","62.67"
"229","61.77","61.77","61.77"
"230","62.53","62.53","62.53"
"231","62.61","62.61","62.61"
"232","63.13","63.13","63.13"
"233","61.98","61.98","61.98"
"234","61.97","61.97","61.97"
"235","63.92","63.92","63.92"
"236","62.52","62.52","62.52"
"237","62.67","62.67","62.67"
"238","62.79","62.79","62.79"
"239","63.47","63.47","63.47"
"240","62.65","62.65","62.65"
"241","63.45","63.45","63.45"
"242","63.19","63.19","63.19"
"243","62.92","62.92","62.92"
"244","63.31","63.31","63.31"
"245","63.29","63.29","63.29"
"246","62.64","62.64","62.64"
"247","61.51","61.51","61.51"
"248","62.73","62.73","62.73"
"249","63.03","63.03","63.03"
"250","62.8","62.8","62.8"
"251","63.02","63.02","63.02"
"252","63.28","63.28","63.28"
"253","63.27","63.27","63.27"
"254","62.93","62.93","62.93"
"255","62.1","62.1","62.1"
"256","63.02","63.02","63.02"
"257","63.57","63.57","63.57"
"258","62.88","62.88","62.88"
"259","62.62","62.62","62.62"
"260","63.78","63.78","63.78"
"261","63.09","63.09","63.09"
"262","62.92","62.92","62.92"
"263","62.2","62.2","62.2"
"264","62.21","62.21","62.21"
"265","62.39","62.39","62.39"
"266","63.15","63.15","63.15"
"267","62.93","62.93","62.93"
"268","63.21","63.21","63.21"
"269","63.06","63.06","63.06"
"270","62.52","62.52","62.52"
"271","63.7","63.7","63.7"
"272","62.1","62.1","62.1"
"273","63.05","63.05","63.05"
"274","62.2","62.2","62.2"
"275","63.1","63.1","63.1"
"276","62.97","62.97","62.97"
"277","63.69","63.69","63.69"
"278","62.87","62.87","62.87"
"279","62.78","62.78","62.78"
"280","63.75","63.75","63.75"
"281","62.75","62.75","62.75"
"282","62.97","62.97","62.97"
"283","63.13","63.13","63.13"
"284","62.42","62.42","62.42"
"285","61.5","61.5","61.5"
"286","63.61","63.61","63.61"
"287","63.87","63.87","63.87"
"288","63.94","63.94","63.94"
"289","62.61","62.61","62.61"
"290","62.55","62.55","62.55"
"291","62.34","62.34","62.34"
"292","63.54","63.54","63.54"
"293","62.95","62.95","62.95"
"294","63.57","63.57","63.57"
"295","62.93","62.93","62.93"
"296","63.92","63.92","63.92"
"297","63.58","63.58","63.58"
"298","62.53","62.53","62.53"
"299","62.56","62.56","62.56"
"300","63.4","63.4","63.4"
"301","62.92","62.92","62.92"
"302","63.37","63.37","63.37"
"303","62.97","62.97","62.97"
"304","63.93","63.93","63.93"
"305","62.64","62.64","62.64"
"306","62.65","62.65","62.65"
"307","63.07","63.07","63.07"
"308","63.11","63.11","63.11"
"309","64.01","64.01","64.01"
"310","63.12","63.12","63.12"
"311","62.21","62.21","62.21"
"312","62.48","62.48","62.48"
"313","63.42","63.42","63.42"
"314","63.19","63.19","63.19"
"315","62.65","62.65","62.65"
"316","63.8","63.8","63.8"
"317","63.37","63.37","63.37"
"318","63.36","63.36","63.36"
"319","63.14","63.14","63.14"
"320","63.59","63.59","63.59"
"321","63.28","63.28","63.28"
"322","62.74","62.74","62.74"
"323","63.1","63.1","63.1"
"324","63.66","63.66","63.66"
"325","63.38","63.38","63.38"
"326","63.59","63.59","63.59"
"327","62.91","62.91","62.91"
"328","63.29","63.29","63.29"
"329","63.31","63.31","63.31"
"330","63.23","63.23","63.23"
"331","64.57","64.57","64.57"
"332","62.68","62.68","62.68"
"333","63.1","63.1","63.1"
"334","63.24","63.24","63.24"
"335","63.55","63.55","63.55"
"336","63.31","63.31","63.31"
"337","63.17","63.17","63.17"
"338","63.79","63.79","63.79"
"339","62.17","62.17","62.17"
"340","63.18","63.18","63.18"
"341","63.59","63.59","63.59"
"342","63.22","63.22","63.22"
"343","63.8","63.8","63.8"
"344","63.52","63.52","63.52"
"345","62.51","62.51","62.51"
"346","63.27","63.27","63.27"
"347","63.1","63.1","63.1"
"348","63.33","63.33","63.33"
"349","62.7","62.7","62.7"
"350","63.57","63.57","63.57"
"351","64.01","64.01","64.01"
"352","63.66","63.66","63.66"
"353","63.2","63.2","63.2"
"354","63.35","63.35","63.35"
"355","63.85","63.85","63.85"
"356","63.24","63.24","63.24"
"357","62.58","62.58","62.58"
"358","64","64","64"
"359","64.44","64.44","64.44"
"360","63.57","63.57","63.57"
"361","63.6","63.6","63.6"
"362","63.53","63.53","63.53"
"363","63.47","63.47","63.47"
"364","63.88","63.88","63.88"
"365","63.54","63.54","63.54"
"366","63.19","63.19","63.19"
"367","63.54","63.54","63.54"
"368","63.31","63.31","63.31"
"369","62.99","62.99","62.99"
"370","63","63","63"
"371","63.52","63.52","63.52"
"372","63.47","63.47","63.47"
"373","63.34","63.34","63.34"
"374","63.27","63.27","63.27"
"375","62.97","62.97","62.97"
"376","64.58","64.58","64.58"
"377","64.1","64.1","64.1"
"378","64.12","64.12","64.12"
"379","63.2","63.2","63.2"
"380","63.09","63.09","63.09"
"381","63.09","63.09","63.09"
"382","64.91","64.91","64.91"
"383","63.79","63.79","63.79"
"384","64.4","64.4","64.4"
"385","63.94","63.94","63.94"
"386","64.38","64.38","64.38"
"387","63.65","63.65","63.65"
"388","63.53","63.53","63.53"
"389","63.5","63.5","63.5"
"390","63.22","63.22","63.22"
"391","63.21","63.21","63.21"
"392","63.54","63.54","63.54"
"393","62.52","62.52","62.52"
"394","63.84","63.84","63.84"
"395","63.84","63.84","63.84"
"396","63.82","63.82","63.82"
"397","63.7","63.7","63.7"
"398","64.19","64.19","64.19"
"399","63.63","63.63","63.63"
"400","64.44","64.44","64.44"
"401","63.91","63.91","63.91"
"402","63.6","63.6","63.6"
"403","63.81","63.81","63.81"
"404","63.87","63.87","63.87"
"405","63.45","63.45","63.45"
"406","64.4","64.4","64.4"
"407","65.12","65.12","65.12"
"408","63.51","63.51","63.51"
"409","64.32","64.32","64.32"
"410","64.79","64.79","64.79"
"411","64.22","64.22","64.22"
"412","64.17","64.17","64.17"
"413","64.07","64.07","64.07"
"414","64.18","64.18","64.18"
"415","63.69","63.69","63.69"
"416","64.67","64.67","64.67"
"417","64.03","64.03","64.03"
"418","64.26","64.26","64.26"
"419","64.68","64.68","64.68"
"420","63.29","63.29","63.29"
"421","64.34","64.34","64.34"
"422","64.99","64.99","64.99"
"423","64.87","64.87","64.87"
"424","64.45","64.45","64.45"
"425","64.89","64.89","64.89"
"426","65.38","65.38","65.38"
"427","64.73","64.73","64.73"
"428","64.7","64.7","64.7"
"429","64.82","64.82","64.82"
"430","64.3","64.3","64.3"
"431","65.35","65.35","65.35"
"432","64.02","64.02","64.02"
"433","64.86","64.86","64.86"
"434","64.71","64.71","64.71"
"435","65.21","65.21","65.21"
"436","64.93","64.93","64.93"
"437","64.87","64.87","64.87"
"438","65.64","65.64","65.64"
"439","65.41","65.41","65.41"
"440","65.63","65.63","65.63"
"441","65.43","65.43","65.43"
"442","65.41","65.41","65.41"
"443","64.86","64.86","64.86"
"444","65.54","65.54","65.54"
"445","64.7","64.7","64.7"
"446","65.31","65.31","65.31"
"447","65.41","65.41","65.41"
"448","64.92","64.92","64.92"
"449","65.15","65.15","65.15"
"450","65.23","65.23","65.23"
"451","65.42","65.42","65.42"
"452","64.91","64.91","64.91"
"453","65.43","65.43","65.43"
"454","65.98","65.98","65.98"
"455","65.86","65.86","65.86"
"456","64.69","64.69","64.69"
"457","64.97","64.97","64.97"
"458","64.63","64.63","64.63"
"459","65.41","65.41","65.41"
"460","65.43","65.43","65.43"
"461","65.41","65.41","65.41"
"462","64.87","64.87","64.87"
"463","65.68","65.68","65.68"
"464","66.14","66.14","66.14"
"465","66.33","66.33","66.33"
"466","65.17","65.17","65.17"
"467","65.98","65.98","65.98"
"468","64.96","64.96","64.96"
"469","65.1","65.1","65.1"
"470","64.52","64.52","64.52"
"471","65.81","65.81","65.81"
"472","65.95","65.95","65.95"
"473","65.95","65.95","65.95"
"474","65.43","65.43","65.43"
"475","65.48","65.48","65.48"
"476","66.02","66.02","66.02"
"477","65.6","65.6","65.6"
"478","65.17","65.17","65.17"
"479","66.61","66.61","66.61"
"480","65.92","65.92","65.92"
"481","65.02","65.02","65.02"
"482","66.68","66.68","66.68"
"483","65.14","65.14","65.14"
"484","66.28","66.28","66.28"
"485","65.44","65.44","65.44"
"486","65.75","65.75","65.75"
"487","64.65","64.65","64.65"
"488","65.4","65.4","65.4"
"489","65.87","65.87","65.87"
"490","66.75","66.75","66.75"
"491","65.94","65.94","65.94"
"492","65.83","65.83","65.83"
"493","64.6","64.6","64.6"
"494","65.44","65.44","65.44"
"495","65.9","65.9","65.9"
"496","65.4","65.4","65.4"
"497","65.38","65.38","65.38"
"498","65.88","65.88","65.88"
"499","65.14","65.14","65.14"
"500","65.81","65.81","65.81"
"501","64.82","64.82","64.82"
"502","65.3","65.3","65.3"
"503","66","66","66"
"504","65.25","65.25","65.25"
"505","65.95","65.95","65.95"
"506","65.26","65.26","65.26"
"507","66.25","66.25","66.25"
"508","65.67","65.67","65.67"
"509","65.95","65.95","65.95"
"510","64.95","64.95","64.95"
"511","65.26","65.26","65.26"
"512","64.87","64.87","64.87"
"513","65.34","65.34","65.34"
"514","65.49","65.49","65.49"
"515","66.15","66.15","66.15"
"516","66.44","66.44","66.44"
"517","65.79","65.79","65.79"
"518","65.91","65.91","65.91"
"519","64.9","64.9","64.9"
"520","64.91","64.91","64.91"
"521","65.96","65.96","65.96"
"522","65.5","65.5","65.5"
"523","65.76","65.76","65.76"
"524","65.69","65.69","65.69"
"525","66.62","66.62","66.62"
"526","65.49","65.49","65.49"
"527","66.13","66.13","66.13"
"528","65.38","65.38","65.38"
"529","65.58","65.58","65.58"
"530","66.17","66.17","66.17"
"531","65.38","65.38","65.38"
"532","65.7","65.7","65.7"
"533","66.33","66.33","66.33"
"534","65.96","65.96","65.96"
"535","64.61","64.61","64.61"
"536","66.01","66.01","66.01"
"537","65.8","65.8","65.8"
"538","65.54","65.54","65.54"
"539","65.98","65.98","65.98"
"540","65.3","65.3","65.3"
"541","66.15","66.15","66.15"
"542","66.87","66.87","66.87"
"543","66.16","66.16","66.16"
"544","65.63","65.63","65.63"
"545","65.65","65.65","65.65"
"546","65.85","65.85","65.85"
"547","65.99","65.99","65.99"
"548","66","66","66"
"549","66.95","66.95","66.95"
"550","65.53","65.53","65.53"
"551","65.62","65.62","65.62"
"552","66.14","66.14","66.14"
"553","66.03","66.03","66.03"
"554","66.14","66.14","66.14"
"555","66.07","66.07","66.07"
"556","66.8","66.8","66.8"
"557","65.73","65.73","65.73"
"558","65.44","65.44","65.44"
