"Step","base1013 - test_arithmetic_perfect","base1013 - test_arithmetic_perfect__MIN","base1013 - test_arithmetic_perfect__MAX"
"0","12.92","12.92","12.92"
"1","14.4","14.4","14.4"
"2","19.04","19.04","19.04"
"3","22.69","22.69","22.69"
"4","22.01","22.01","22.01"
"5","24.51","24.51","24.51"
"6","24.5","24.5","24.5"
"7","23.42","23.42","23.42"
"8","23.37","23.37","23.37"
"9","26.01","26.01","26.01"
"10","24.58","24.58","24.58"
"11","26.38","26.38","26.38"
"12","24.91","24.91","24.91"
"13","25.18","25.18","25.18"
"14","25.68","25.68","25.68"
"15","24.82","24.82","24.82"
"16","25.62","25.62","25.62"
"17","26.19","26.19","26.19"
"18","25.47","25.47","25.47"
"19","27.8","27.8","27.8"
"20","26.94","26.94","26.94"
"21","26.54","26.54","26.54"
"22","26.75","26.75","26.75"
"23","27.42","27.42","27.42"
"24","26.98","26.98","26.98"
"25","27.62","27.62","27.62"
"26","27.49","27.49","27.49"
"27","27.22","27.22","27.22"
"28","28.77","28.77","28.77"
"29","30.33","30.33","30.33"
"30","30.56","30.56","30.56"
"31","32.13","32.13","32.13"
"32","32.38","32.38","32.38"
"33","32.47","32.47","32.47"
"34","34.6","34.6","34.6"
"35","32.19","32.19","32.19"
"36","32.44","32.44","32.44"
"37","32.69","32.69","32.69"
"38","33.8","33.8","33.8"
"39","32.25","32.25","32.25"
"40","33.44","33.44","33.44"
"41","33","33","33"
"42","32.69","32.69","32.69"
"43","32.48","32.48","32.48"
"44","32.46","32.46","32.46"
"45","33.01","33.01","33.01"
"46","33.45","33.45","33.45"
"47","32.09","32.09","32.09"
"48","33.38","33.38","33.38"
"49","33.14","33.14","33.14"
"50","35.06","35.06","35.06"
"51","34","34","34"
"52","34.74","34.74","34.74"
"53","34.2","34.2","34.2"
"54","35.02","35.02","35.02"
"55","32.06","32.06","32.06"
"56","35.12","35.12","35.12"
"57","34.93","34.93","34.93"
"58","35.95","35.95","35.95"
"59","35.25","35.25","35.25"
"60","34.67","34.67","34.67"
"61","35.56","35.56","35.56"
"62","33.81","33.81","33.81"
"63","35.08","35.08","35.08"
"64","34.29","34.29","34.29"
"65","35.44","35.44","35.44"
"66","35.16","35.16","35.16"
"67","34.23","34.23","34.23"
"68","35.79","35.79","35.79"
"69","34.24","34.24","34.24"
"70","34.44","34.44","34.44"
"71","34.1","34.1","34.1"
"72","35.38","35.38","35.38"
"73","34.53","34.53","34.53"
"74","35.52","35.52","35.52"
"75","34.67","34.67","34.67"
"76","34.19","34.19","34.19"
"77","35.08","35.08","35.08"
"78","35.07","35.07","35.07"
"79","35.32","35.32","35.32"
"80","34.94","34.94","34.94"
"81","35.75","35.75","35.75"
"82","34.28","34.28","34.28"
"83","35.34","35.34","35.34"
"84","34.95","34.95","34.95"
"85","34.18","34.18","34.18"
"86","36.36","36.36","36.36"
"87","35.04","35.04","35.04"
"88","34.89","34.89","34.89"
"89","34.76","34.76","34.76"
"90","35.63","35.63","35.63"
"91","34.97","34.97","34.97"
"92","34.29","34.29","34.29"
"93","36.33","36.33","36.33"
"94","35.54","35.54","35.54"
"95","35.53","35.53","35.53"
"96","36.93","36.93","36.93"
"97","36.7","36.7","36.7"
"98","35.29","35.29","35.29"
"99","37.04","37.04","37.04"
"100","37.4","37.4","37.4"
"101","36.53","36.53","36.53"
