"Step","base1013 - valid_arithmetic_perfect","base1013 - valid_arithmetic_perfect__MIN","base1013 - valid_arithmetic_perfect__MAX"
"358","52.25","52.25","52.25"
"359","52.49","52.49","52.49"
"360","52.88","52.88","52.88"
"361","52.76","52.76","52.76"
"362","51.94","51.94","51.94"
"363","53.49","53.49","53.49"
"364","52.69","52.69","52.69"
"365","52.86","52.86","52.86"
"366","52.44","52.44","52.44"
"367","52.49","52.49","52.49"
"368","53.01","53.01","53.01"
"369","52.89","52.89","52.89"
"370","52.8","52.8","52.8"
"371","53.59","53.59","53.59"
"372","52.37","52.37","52.37"
"373","53.15","53.15","53.15"
"374","52.99","52.99","52.99"
"375","53.58","53.58","53.58"
"376","52.86","52.86","52.86"
"377","53.24","53.24","53.24"
"378","53.86","53.86","53.86"
"379","53.84","53.84","53.84"
"380","52.16","52.16","52.16"
"381","53.19","53.19","53.19"
"382","52.95","52.95","52.95"
"383","53.82","53.82","53.82"
"384","53.09","53.09","53.09"
"385","53.91","53.91","53.91"
"386","54.25","54.25","54.25"
"387","54.48","54.48","54.48"
"388","53.6","53.6","53.6"
"389","55.18","55.18","55.18"
"390","54.49","54.49","54.49"
"391","53.42","53.42","53.42"
"392","53.56","53.56","53.56"
"393","54.42","54.42","54.42"
"394","53.41","53.41","53.41"
"395","53.07","53.07","53.07"
"396","54.17","54.17","54.17"
"397","54.53","54.53","54.53"
"398","55.38","55.38","55.38"
"399","53.79","53.79","53.79"
"400","54.52","54.52","54.52"
"401","54.09","54.09","54.09"
"402","54.14","54.14","54.14"
"403","54.49","54.49","54.49"
"404","54.68","54.68","54.68"
"405","54.36","54.36","54.36"
"406","54.89","54.89","54.89"
"407","54.17","54.17","54.17"
"408","55.06","55.06","55.06"
"409","54.13","54.13","54.13"
"410","53.74","53.74","53.74"
"411","53.43","53.43","53.43"
"412","54.51","54.51","54.51"
"413","54.05","54.05","54.05"
"414","54.93","54.93","54.93"
"415","55.17","55.17","55.17"
"416","54.7","54.7","54.7"
"417","54.47","54.47","54.47"
"418","53.83","53.83","53.83"
"419","54.82","54.82","54.82"
"420","54.31","54.31","54.31"
"421","53.69","53.69","53.69"
"422","53.93","53.93","53.93"
"423","53.53","53.53","53.53"
"424","55.05","55.05","55.05"
"425","54.61","54.61","54.61"
"426","55","55","55"
"427","54.47","54.47","54.47"
"428","54.66","54.66","54.66"
"429","53.83","53.83","53.83"
"430","53.73","53.73","53.73"
"431","54.84","54.84","54.84"
"432","53.71","53.71","53.71"
"433","54.74","54.74","54.74"
"434","54.67","54.67","54.67"
"435","55.06","55.06","55.06"
"436","54.64","54.64","54.64"
"437","55.14","55.14","55.14"
"438","53.72","53.72","53.72"
"439","53.66","53.66","53.66"
"440","54.05","54.05","54.05"
"441","54.63","54.63","54.63"
"442","54.09","54.09","54.09"
"443","55.3","55.3","55.3"
"444","54.86","54.86","54.86"
"445","54.33","54.33","54.33"
"446","54.95","54.95","54.95"
"447","53.89","53.89","53.89"
"448","54.51","54.51","54.51"
"449","54.25","54.25","54.25"
"450","54.63","54.63","54.63"
"451","53.52","53.52","53.52"
"452","54.12","54.12","54.12"
"453","54.04","54.04","54.04"
"454","55.02","55.02","55.02"
"455","54.44","54.44","54.44"
"456","55.02","55.02","55.02"
"457","55.01","55.01","55.01"
"458","54.8","54.8","54.8"
"459","54.68","54.68","54.68"
"460","54.48","54.48","54.48"
"461","54.03","54.03","54.03"
"462","54.64","54.64","54.64"
"463","54.9","54.9","54.9"
"464","54.78","54.78","54.78"
"465","53.68","53.68","53.68"
"466","55.42","55.42","55.42"
"467","53.92","53.92","53.92"
"468","54","54","54"
"470","54.08","54.08","54.08"
"471","53.91","53.91","53.91"
"472","55.43","55.43","55.43"
"473","55.29","55.29","55.29"
"474","54.39","54.39","54.39"
"475","54.23","54.23","54.23"
"476","55.41","55.41","55.41"
"477","55.25","55.25","55.25"
"478","54.03","54.03","54.03"
"479","55.02","55.02","55.02"
"480","54.5","54.5","54.5"
"481","54.88","54.88","54.88"
"482","54.27","54.27","54.27"
"483","55.9","55.9","55.9"
"484","53.94","53.94","53.94"
"485","54.94","54.94","54.94"
"486","55.28","55.28","55.28"
"487","53.99","53.99","53.99"
"488","55.3","55.3","55.3"
"489","55.84","55.84","55.84"
"490","54.45","54.45","54.45"
"491","55.38","55.38","55.38"
"492","54.83","54.83","54.83"
"493","54.31","54.31","54.31"
"494","54.02","54.02","54.02"
"495","54.84","54.84","54.84"
"496","54.95","54.95","54.95"
"497","54.58","54.58","54.58"
"498","55.22","55.22","55.22"
"499","54.36","54.36","54.36"
"500","54.6","54.6","54.6"
"501","55.41","55.41","55.41"
"502","54.86","54.86","54.86"
"503","54.33","54.33","54.33"
"504","54.83","54.83","54.83"
"505","54.52","54.52","54.52"
"506","54.86","54.86","54.86"
"507","55.11","55.11","55.11"
"508","55.29","55.29","55.29"
"509","54.7","54.7","54.7"
"510","54.83","54.83","54.83"
"511","54.87","54.87","54.87"
"512","54.43","54.43","54.43"
"513","55.39","55.39","55.39"
"514","55.06","55.06","55.06"
"515","54.7","54.7","54.7"
"516","54.59","54.59","54.59"
"517","56.13","56.13","56.13"
"518","54.77","54.77","54.77"
"519","54.67","54.67","54.67"
"520","55.47","55.47","55.47"
"521","55.36","55.36","55.36"
"522","54.67","54.67","54.67"
"523","54.74","54.74","54.74"
"524","55.18","55.18","55.18"
"525","53.94","53.94","53.94"
"526","54.37","54.37","54.37"
"527","55.44","55.44","55.44"
"528","54.92","54.92","54.92"
"529","55.08","55.08","55.08"
"530","54.66","54.66","54.66"
"531","54.31","54.31","54.31"
"532","54.98","54.98","54.98"
"533","55.06","55.06","55.06"
"534","55.3","55.3","55.3"
"535","54.98","54.98","54.98"
"536","55.11","55.11","55.11"
"537","55.01","55.01","55.01"
"538","55.47","55.47","55.47"
"539","54.88","54.88","54.88"
"540","54.9","54.9","54.9"
"541","55.02","55.02","55.02"
"542","55.16","55.16","55.16"
"543","54.38","54.38","54.38"
"544","55.24","55.24","55.24"
"545","53.92","53.92","53.92"
"546","54.75","54.75","54.75"
"547","54.61","54.61","54.61"
"548","55.78","55.78","55.78"
"549","54.99","54.99","54.99"
"550","54.21","54.21","54.21"
"551","54.61","54.61","54.61"
"552","53.95","53.95","53.95"
"553","54.64","54.64","54.64"
"554","55.24","55.24","55.24"
"555","54.7","54.7","54.7"
"556","54.65","54.65","54.65"
"557","54.03","54.03","54.03"
"558","55.34","55.34","55.34"
"559","54.56","54.56","54.56"
"560","54.32","54.32","54.32"
"561","54.87","54.87","54.87"
"562","54.69","54.69","54.69"
"563","53.96","53.96","53.96"
"564","54.3","54.3","54.3"
"565","54.6","54.6","54.6"
"566","55.27","55.27","55.27"
"567","54.77","54.77","54.77"
"568","55.09","55.09","55.09"
"569","55.36","55.36","55.36"
"570","55.18","55.18","55.18"
"571","55.31","55.31","55.31"
"572","55.47","55.47","55.47"
"573","55.7","55.7","55.7"
"574","54.84","54.84","54.84"
"575","54.62","54.62","54.62"
"576","55","55","55"
"577","55.82","55.82","55.82"
"578","54.2","54.2","54.2"
"579","54.45","54.45","54.45"
"580","54.58","54.58","54.58"
"581","54.52","54.52","54.52"
"582","55.4","55.4","55.4"
"583","55.34","55.34","55.34"
"584","54.69","54.69","54.69"
"585","54.03","54.03","54.03"
"586","55.24","55.24","55.24"
"587","54.59","54.59","54.59"
"588","55.34","55.34","55.34"
"589","54.86","54.86","54.86"
"590","55.33","55.33","55.33"
"591","54.62","54.62","54.62"
"592","54.38","54.38","54.38"
"593","54.41","54.41","54.41"
"594","54.46","54.46","54.46"
"595","53.63","53.63","53.63"
"596","54.75","54.75","54.75"
"597","55.25","55.25","55.25"
"598","54.26","54.26","54.26"
"599","55.43","55.43","55.43"
"600","54.94","54.94","54.94"
"601","54.41","54.41","54.41"
"602","54.51","54.51","54.51"
"603","54.01","54.01","54.01"
"604","54.77","54.77","54.77"
"605","54.85","54.85","54.85"
"606","53.99","53.99","53.99"
"607","55.2","55.2","55.2"
"608","54.34","54.34","54.34"
"609","54.71","54.71","54.71"
"610","54.92","54.92","54.92"
"611","55.44","55.44","55.44"
"612","54.7","54.7","54.7"
"613","55.22","55.22","55.22"
"614","54.53","54.53","54.53"
"615","53.74","53.74","53.74"
"616","54.69","54.69","54.69"
"617","54.92","54.92","54.92"
"618","55.15","55.15","55.15"
"619","55.31","55.31","55.31"
"620","55.03","55.03","55.03"
"621","54.7","54.7","54.7"
"622","55.77","55.77","55.77"
"623","54.66","54.66","54.66"
"624","53.72","53.72","53.72"
"625","55.68","55.68","55.68"
"626","54.61","54.61","54.61"
"627","55.17","55.17","55.17"
"628","55.3","55.3","55.3"
"629","54.42","54.42","54.42"
"630","54.67","54.67","54.67"
"631","54.65","54.65","54.65"
"632","55.04","55.04","55.04"
"633","54.96","54.96","54.96"
"634","55.95","55.95","55.95"
"635","55.31","55.31","55.31"
"636","53.81","53.81","53.81"
"637","55.56","55.56","55.56"
"638","55.19","55.19","55.19"
"639","55.17","55.17","55.17"
"640","56.02","56.02","56.02"
"641","54.99","54.99","54.99"
