"Step","base999 - test_arithmetic_perfect","base999 - test_arithmetic_perfect__MIN","base999 - test_arithmetic_perfect__MAX"
"0","13.4","13.4","13.4"
"1","17.87","17.87","17.87"
"2","23.98","23.98","23.98"
"3","25.29","25.29","25.29"
"4","25.22","25.22","25.22"
"5","26.92","26.92","26.92"
"6","27.85","27.85","27.85"
"7","27.46","27.46","27.46"
"8","25.07","25.07","25.07"
"9","27.54","27.54","27.54"
"10","25.99","25.99","25.99"
"11","26.8","26.8","26.8"
"12","27.71","27.71","27.71"
"13","27.68","27.68","27.68"
"14","27.69","27.69","27.69"
"15","27.25","27.25","27.25"
"16","29.31","29.31","29.31"
"17","28.54","28.54","28.54"
"18","29.11","29.11","29.11"
"19","28.97","28.97","28.97"
"20","30.66","30.66","30.66"
"21","31.06","31.06","31.06"
"22","33.11","33.11","33.11"
"23","33.37","33.37","33.37"
"24","32.72","32.72","32.72"
"25","32.36","32.36","32.36"
"26","32.93","32.93","32.93"
"27","31.19","31.19","31.19"
"28","33.13","33.13","33.13"
"29","32.81","32.81","32.81"
"30","34.24","34.24","34.24"
"31","33.61","33.61","33.61"
"32","35.66","35.66","35.66"
"33","32.85","32.85","32.85"
"34","35.29","35.29","35.29"
"35","32.75","32.75","32.75"
"36","34.92","34.92","34.92"
"37","34.21","34.21","34.21"
"38","34","34","34"
"39","33.91","33.91","33.91"
"40","34.33","34.33","34.33"
"41","34.1","34.1","34.1"
"42","34.47","34.47","34.47"
"43","35.01","35.01","35.01"
"44","34.87","34.87","34.87"
"45","34.77","34.77","34.77"
"46","35.52","35.52","35.52"
"47","33.64","33.64","33.64"
"48","34.63","34.63","34.63"
"49","33.84","33.84","33.84"
"50","35.33","35.33","35.33"
"51","34.89","34.89","34.89"
"52","35.49","35.49","35.49"
"53","35.38","35.38","35.38"
"54","36.36","36.36","36.36"
"55","33.84","33.84","33.84"
"56","36.28","36.28","36.28"
"57","36.77","36.77","36.77"
"58","35.39","35.39","35.39"
"59","35.93","35.93","35.93"
"60","36.15","36.15","36.15"
"61","37.02","37.02","37.02"
"62","35.77","35.77","35.77"
"63","36.02","36.02","36.02"
"64","37.9","37.9","37.9"
"65","36.88","36.88","36.88"
"66","37.99","37.99","37.99"
"67","36.61","36.61","36.61"
"68","38.46","38.46","38.46"
"69","36.28","36.28","36.28"
"70","36.72","36.72","36.72"
"71","37.14","37.14","37.14"
"72","37.42","37.42","37.42"
"73","36.84","36.84","36.84"
"74","36.38","36.38","36.38"
"75","37.83","37.83","37.83"
"76","36.57","36.57","36.57"
"77","37.08","37.08","37.08"
"78","37.23","37.23","37.23"
"79","37.05","37.05","37.05"
"80","37.12","37.12","37.12"
"81","37.54","37.54","37.54"
"82","37","37","37"
"83","38.45","38.45","38.45"
