"Step","base999 - valid_arithmetic_perfect","base999 - valid_arithmetic_perfect__MIN","base999 - valid_arithmetic_perfect__MAX"
"0","9.58","9.58","9.58"
"1","18.49","18.49","18.49"
"2","24.63","24.63","24.63"
"3","24.96","24.96","24.96"
"4","25.77","25.77","25.77"
"5","25.82","25.82","25.82"
"6","24.85","24.85","24.85"
"7","26","26","26"
"8","26.03","26.03","26.03"
"9","25.43","25.43","25.43"
"10","25.97","25.97","25.97"
"11","23.12","23.12","23.12"
"12","26.36","26.36","26.36"
"13","26.39","26.39","26.39"
"14","28.41","28.41","28.41"
"15","27.27","27.27","27.27"
"16","28.29","28.29","28.29"
"17","28.09","28.09","28.09"
"18","29.29","29.29","29.29"
"19","29.92","29.92","29.92"
"20","31.28","31.28","31.28"
"21","33.26","33.26","33.26"
"22","34.51","34.51","34.51"
"23","34.59","34.59","34.59"
"24","34.3","34.3","34.3"
"25","34.93","34.93","34.93"
"26","34.99","34.99","34.99"
"27","35.1","35.1","35.1"
"28","35.31","35.31","35.31"
"29","35.36","35.36","35.36"
"30","34.42","34.42","34.42"
"31","35.7","35.7","35.7"
"32","35.44","35.44","35.44"
"33","34.55","34.55","34.55"
"34","35.28","35.28","35.28"
"35","34.84","34.84","34.84"
"36","35.86","35.86","35.86"
"37","36.01","36.01","36.01"
"38","35.43","35.43","35.43"
"39","36.88","36.88","36.88"
"40","37.21","37.21","37.21"
"41","35.03","35.03","35.03"
"42","35.78","35.78","35.78"
"43","36.35","36.35","36.35"
"44","36.1","36.1","36.1"
"45","35.92","35.92","35.92"
"46","36.23","36.23","36.23"
"47","34.51","34.51","34.51"
"48","36.87","36.87","36.87"
"49","36.49","36.49","36.49"
"50","37.03","37.03","37.03"
"51","35.7","35.7","35.7"
"52","37.14","37.14","37.14"
"53","36.96","36.96","36.96"
"54","36.85","36.85","36.85"
"55","35.82","35.82","35.82"
"56","35.86","35.86","35.86"
"57","35.3","35.3","35.3"
"58","35.82","35.82","35.82"
"59","36.41","36.41","36.41"
"60","36.85","36.85","36.85"
"61","38.11","38.11","38.11"
"62","37.94","37.94","37.94"
"63","37.69","37.69","37.69"
"64","36.84","36.84","36.84"
"65","37.3","37.3","37.3"
"66","37.47","37.47","37.47"
"67","37.24","37.24","37.24"
"68","37.33","37.33","37.33"
"69","38.23","38.23","38.23"
