"Step","benford - test_arithmetic_perfect","benford - test_arithmetic_perfect__MIN","benford - test_arithmetic_perfect__MAX"
"0","5.58","5.58","5.58"
"1","7.43","7.43","7.43"
"2","10.66","10.66","10.66"
"3","14.23","14.23","14.23"
"4","15.77","15.77","15.77"
"5","18.47","18.47","18.47"
"6","18.56","18.56","18.56"
"7","17.48","17.48","17.48"
"8","16.09","16.09","16.09"
"9","17.98","17.98","17.98"
"10","19.11","19.11","19.11"
"11","17.09","17.09","17.09"
"12","20.35","20.35","20.35"
"13","23.41","23.41","23.41"
"14","22.71","22.71","22.71"
"15","17.66","17.66","17.66"
"16","21.52","21.52","21.52"
"17","21.23","21.23","21.23"
"18","20","20","20"
"19","21.85","21.85","21.85"
"20","25.55","25.55","25.55"
"21","21.74","21.74","21.74"
"22","24.16","24.16","24.16"
"23","25.75","25.75","25.75"
"24","23.73","23.73","23.73"
"25","26.81","26.81","26.81"
"26","22.62","22.62","22.62"
"27","22.86","22.86","22.86"
"28","23.55","23.55","23.55"
"29","23.92","23.92","23.92"
"30","23.77","23.77","23.77"
"31","22.95","22.95","22.95"
"32","24.16","24.16","24.16"
"33","23.93","23.93","23.93"
"34","24.58","24.58","24.58"
"35","25.7","25.7","25.7"
"36","23.87","23.87","23.87"
"37","24.62","24.62","24.62"
"38","25.01","25.01","25.01"
"39","24.11","24.11","24.11"
"40","24.58","24.58","24.58"
"41","26.08","26.08","26.08"
"42","25.79","25.79","25.79"
"43","26.58","26.58","26.58"
"44","25.34","25.34","25.34"
"45","27.43","27.43","27.43"
"46","26.16","26.16","26.16"
"47","25.96","25.96","25.96"
"48","26.18","26.18","26.18"
"49","28.31","28.31","28.31"
"50","27.75","27.75","27.75"
"51","25.84","25.84","25.84"
"52","26.62","26.62","26.62"
"53","27.23","27.23","27.23"
"54","29.19","29.19","29.19"
"55","28.17","28.17","28.17"
"56","29.5","29.5","29.5"
"57","27.12","27.12","27.12"
"58","29.33","29.33","29.33"
"59","29.6","29.6","29.6"
"60","30.12","30.12","30.12"
"61","32.43","32.43","32.43"
"62","31.41","31.41","31.41"
"63","30.78","30.78","30.78"
"64","29.84","29.84","29.84"
"65","32.72","32.72","32.72"
"66","31.93","31.93","31.93"
"67","31.09","31.09","31.09"
"68","31.89","31.89","31.89"
"69","31.99","31.99","31.99"
"70","31.08","31.08","31.08"
"71","33.41","33.41","33.41"
"72","33.64","33.64","33.64"
"73","33.74","33.74","33.74"
"74","32.21","32.21","32.21"
"75","34.1","34.1","34.1"
"76","33.76","33.76","33.76"
"77","34.49","34.49","34.49"
"78","31.79","31.79","31.79"
"79","35.48","35.48","35.48"
"80","35.48","35.48","35.48"
"81","34.3","34.3","34.3"
"82","34.38","34.38","34.38"
"83","37.24","37.24","37.24"
"84","38.67","38.67","38.67"
"85","36.22","36.22","36.22"
"86","37.45","37.45","37.45"
"87","36.36","36.36","36.36"
"88","35.52","35.52","35.52"
"89","37.34","37.34","37.34"
"90","39.16","39.16","39.16"
"91","36.74","36.74","36.74"
"92","36.32","36.32","36.32"
"93","37.46","37.46","37.46"
"94","39.8","39.8","39.8"
"95","37.99","37.99","37.99"
"96","38.9","38.9","38.9"
"97","39.52","39.52","39.52"
"98","39.46","39.46","39.46"
"99","39.25","39.25","39.25"
"100","39.56","39.56","39.56"
"101","39.43","39.43","39.43"
"102","39.19","39.19","39.19"
"103","41.43","41.43","41.43"
"104","38.77","38.77","38.77"
"105","39.37","39.37","39.37"
"106","41.04","41.04","41.04"
"107","39.48","39.48","39.48"
"108","40.72","40.72","40.72"
"109","40.89","40.89","40.89"
"110","42.12","42.12","42.12"
"111","42.29","42.29","42.29"
"112","41.66","41.66","41.66"
"113","43.21","43.21","43.21"
"114","42.2","42.2","42.2"
"115","40.6","40.6","40.6"
"116","40.62","40.62","40.62"
"117","39.55","39.55","39.55"
"118","41.16","41.16","41.16"
"119","42.38","42.38","42.38"
"120","41.88","41.88","41.88"
"121","42.48","42.48","42.48"
"122","41.24","41.24","41.24"
"123","42.59","42.59","42.59"
"124","41.21","41.21","41.21"
"125","42.11","42.11","42.11"
"126","40.28","40.28","40.28"
"127","43.48","43.48","43.48"
"128","42.58","42.58","42.58"
"129","42.25","42.25","42.25"
"130","41.87","41.87","41.87"
"131","41.84","41.84","41.84"
"132","40.16","40.16","40.16"
"133","43.5","43.5","43.5"
"134","42.89","42.89","42.89"
"135","40.99","40.99","40.99"
"136","42.05","42.05","42.05"
"137","40.08","40.08","40.08"
"138","41.97","41.97","41.97"
"139","43.07","43.07","43.07"
"140","42.03","42.03","42.03"
"141","41.71","41.71","41.71"
"142","42.1","42.1","42.1"
"143","42.97","42.97","42.97"
"144","41.51","41.51","41.51"
"145","42.3","42.3","42.3"
"146","43.66","43.66","43.66"
"147","42.42","42.42","42.42"
"148","41.36","41.36","41.36"
"149","42.96","42.96","42.96"
"150","42.64","42.64","42.64"
"151","39.8","39.8","39.8"
"152","42.63","42.63","42.63"
"153","40.99","40.99","40.99"
"154","40.36","40.36","40.36"
"155","42.44","42.44","42.44"
"156","43.03","43.03","43.03"
"157","43.96","43.96","43.96"
"158","41.03","41.03","41.03"
"159","42.42","42.42","42.42"
"160","41.77","41.77","41.77"
"161","41.97","41.97","41.97"
"162","41.9","41.9","41.9"
"163","41.37","41.37","41.37"
"164","42.2","42.2","42.2"
"165","41.24","41.24","41.24"
"166","42.34","42.34","42.34"
"167","42.03","42.03","42.03"
"168","42.71","42.71","42.71"
"169","42.1","42.1","42.1"
"170","42.99","42.99","42.99"
"171","41.52","41.52","41.52"
"172","44.31","44.31","44.31"
"173","42.39","42.39","42.39"
"174","42.85","42.85","42.85"
"175","41.79","41.79","41.79"
"176","41.04","41.04","41.04"
"177","42.67","42.67","42.67"
"178","43.21","43.21","43.21"
"179","43.12","43.12","43.12"
"180","42.64","42.64","42.64"
"181","42.72","42.72","42.72"
"182","43.06","43.06","43.06"
"183","41.73","41.73","41.73"
"184","41.91","41.91","41.91"
"185","43.65","43.65","43.65"
"186","43.35","43.35","43.35"
"187","42.58","42.58","42.58"
"188","42.72","42.72","42.72"
"189","43.57","43.57","43.57"
"190","43.69","43.69","43.69"
"191","43.02","43.02","43.02"
"192","42.74","42.74","42.74"
"193","44.99","44.99","44.99"
"194","43.65","43.65","43.65"
"195","43.96","43.96","43.96"
"196","45.92","45.92","45.92"
"197","43.71","43.71","43.71"
"198","44.41","44.41","44.41"
"199","45.19","45.19","45.19"
"200","44.12","44.12","44.12"
"201","44.68","44.68","44.68"
"202","44.53","44.53","44.53"
"203","45.88","45.88","45.88"
"204","44.88","44.88","44.88"
"205","44.01","44.01","44.01"
"206","47.29","47.29","47.29"
"207","46.36","46.36","46.36"
"208","45.52","45.52","45.52"
"209","45.28","45.28","45.28"
"210","44.85","44.85","44.85"
"211","46.44","46.44","46.44"
"212","46.29","46.29","46.29"
"213","46.61","46.61","46.61"
"214","46.44","46.44","46.44"
"215","47.48","47.48","47.48"
"216","47.28","47.28","47.28"
"217","48.52","48.52","48.52"
"218","46.31","46.31","46.31"
"219","47.32","47.32","47.32"
