"Step","benford2 - test_arithmetic_perfect","benford2 - test_arithmetic_perfect__MIN","benford2 - test_arithmetic_perfect__MAX"
"1383","72.22","72.22","72.22"
"1384","73.29","73.29","73.29"
"1385","72.78","72.78","72.78"
"1386","72.49","72.49","72.49"
"1387","72.54","72.54","72.54"
"1388","72.83","72.83","72.83"
"1389","72.27","72.27","72.27"
"1390","73.1","73.1","73.1"
"1391","73.07","73.07","73.07"
"1392","71.77","71.77","71.77"
"1393","72.69","72.69","72.69"
"1394","71.89","71.89","71.89"
"1395","73.27","73.27","73.27"
"1396","72.99","72.99","72.99"
"1397","73.03","73.03","73.03"
"1398","71.54","71.54","71.54"
"1399","73.09","73.09","73.09"
"1400","72.7","72.7","72.7"
"1401","72.9","72.9","72.9"
"1402","73.19","73.19","73.19"
"1403","71.92","71.92","71.92"
"1404","72.77","72.77","72.77"
"1405","72.9","72.9","72.9"
"1406","72.22","72.22","72.22"
"1407","72.3","72.3","72.3"
"1408","72.88","72.88","72.88"
"1409","73","73","73"
"1410","71.31","71.31","71.31"
"1411","72.78","72.78","72.78"
"1412","73.16","73.16","73.16"
"1413","72.39","72.39","72.39"
"1414","72.03","72.03","72.03"
"1415","74.23","74.23","74.23"
"1416","72.33","72.33","72.33"
"1417","73.39","73.39","73.39"
"1418","71.64","71.64","71.64"
"1419","71.64","71.64","71.64"
"1420","71.47","71.47","71.47"
"1421","72.49","72.49","72.49"
"1422","72.3","72.3","72.3"
"1423","73.75","73.75","73.75"
"1424","72.93","72.93","72.93"
"1425","72.73","72.73","72.73"
"1426","74.22","74.22","74.22"
"1427","72.89","72.89","72.89"
"1428","72.84","72.84","72.84"
"1429","71.85","71.85","71.85"
"1430","72.14","72.14","72.14"
"1431","71.8","71.8","71.8"
"1432","72.84","72.84","72.84"
"1433","72.6","72.6","72.6"
"1434","72.24","72.24","72.24"
"1435","72.77","72.77","72.77"
"1436","73.11","73.11","73.11"
"1437","73.01","73.01","73.01"
"1438","72.7","72.7","72.7"
