"Step","benford - valid_arithmetic_perfect","benford - valid_arithmetic_perfect__MIN","benford - valid_arithmetic_perfect__MAX"
"0","20.39","20.39","20.39"
"1","25.45","25.45","25.45"
"2","32.33","32.33","32.33"
"3","33.52","33.52","33.52"
"4","37.58","37.58","37.58"
"5","36.71","36.71","36.71"
"6","38.13","38.13","38.13"
"7","37.43","37.43","37.43"
"8","37.75","37.75","37.75"
"9","38.33","38.33","38.33"
"10","38.32","38.32","38.32"
"11","39.08","39.08","39.08"
"12","38.69","38.69","38.69"
"13","38.92","38.92","38.92"
"14","38.63","38.63","38.63"
"15","40.62","40.62","40.62"
"16","40.61","40.61","40.61"
"17","40.63","40.63","40.63"
"18","41.32","41.32","41.32"
"19","42.02","42.02","42.02"
"20","42","42","42"
"21","41.98","41.98","41.98"
"22","43.13","43.13","43.13"
"23","42.3","42.3","42.3"
"24","43.03","43.03","43.03"
"25","43.27","43.27","43.27"
"26","42.48","42.48","42.48"
"27","42.32","42.32","42.32"
"28","43.49","43.49","43.49"
"29","43.96","43.96","43.96"
"30","43.21","43.21","43.21"
"31","42.68","42.68","42.68"
"32","43.11","43.11","43.11"
"33","44.5","44.5","44.5"
"34","44.43","44.43","44.43"
"35","44.79","44.79","44.79"
"36","44.66","44.66","44.66"
"37","45.86","45.86","45.86"
"38","44.76","44.76","44.76"
"39","45.39","45.39","45.39"
"40","45.88","45.88","45.88"
"41","45.61","45.61","45.61"
"42","45.13","45.13","45.13"
"43","46.19","46.19","46.19"
"44","45.4","45.4","45.4"
"45","45.24","45.24","45.24"
"46","45.22","45.22","45.22"
"47","47.28","47.28","47.28"
"48","46.69","46.69","46.69"
"49","46.98","46.98","46.98"
"50","46.76","46.76","46.76"
"51","46.49","46.49","46.49"
"52","47.02","47.02","47.02"
"53","46.68","46.68","46.68"
"54","48.54","48.54","48.54"
"55","47.15","47.15","47.15"
"56","47.47","47.47","47.47"
"57","48.02","48.02","48.02"
"58","48.87","48.87","48.87"
"59","48.51","48.51","48.51"
"60","48.2","48.2","48.2"
"61","49.48","49.48","49.48"
"62","49.15","49.15","49.15"
"63","49.1","49.1","49.1"
"64","49.82","49.82","49.82"
"65","49.48","49.48","49.48"
"66","50.28","50.28","50.28"
"67","50.08","50.08","50.08"
"68","50.27","50.27","50.27"
"69","51.06","51.06","51.06"
"70","50.91","50.91","50.91"
"71","51.73","51.73","51.73"
"72","51.04","51.04","51.04"
"73","52.02","52.02","52.02"
"74","52.9","52.9","52.9"
"75","52.75","52.75","52.75"
"76","53.49","53.49","53.49"
"77","54.84","54.84","54.84"
"78","53.36","53.36","53.36"
"79","54.56","54.56","54.56"
"80","54.31","54.31","54.31"
"81","53.95","53.95","53.95"
"82","54.26","54.26","54.26"
"83","54.35","54.35","54.35"
"84","54.22","54.22","54.22"
"85","55.33","55.33","55.33"
"86","54.35","54.35","54.35"
"87","54.56","54.56","54.56"
"88","54.45","54.45","54.45"
"89","54.22","54.22","54.22"
"90","53.92","53.92","53.92"
"91","55.14","55.14","55.14"
"92","55.37","55.37","55.37"
"93","56.29","56.29","56.29"
"94","56.07","56.07","56.07"
"95","56.46","56.46","56.46"
"96","56.44","56.44","56.44"
"97","55.96","55.96","55.96"
"98","57.32","57.32","57.32"
"99","55.78","55.78","55.78"
"100","57.45","57.45","57.45"
"101","57.2","57.2","57.2"
"102","57.89","57.89","57.89"
"103","57.9","57.9","57.9"
"104","57.71","57.71","57.71"
"105","57.8","57.8","57.8"
"106","57.42","57.42","57.42"
"107","57.16","57.16","57.16"
"108","58.02","58.02","58.02"
"109","57.54","57.54","57.54"
"110","57.35","57.35","57.35"
"111","57.77","57.77","57.77"
"112","58.53","58.53","58.53"
"113","58.25","58.25","58.25"
"114","58.86","58.86","58.86"
"115","57.73","57.73","57.73"
"116","57.57","57.57","57.57"
"117","57.04","57.04","57.04"
"118","58.36","58.36","58.36"
"119","58.41","58.41","58.41"
"120","58.2","58.2","58.2"
