"Step","benford2 - valid_arithmetic_perfect","benford2 - valid_arithmetic_perfect__MIN","benford2 - valid_arithmetic_perfect__MAX"
"1383","82.86","82.86","82.86"
"1384","83.26","83.26","83.26"
"1385","82.39","82.39","82.39"
"1386","83.04","83.04","83.04"
"1387","83.68","83.68","83.68"
"1388","82.88","82.88","82.88"
"1389","83.37","83.37","83.37"
"1390","82.84","82.84","82.84"
"1391","83.36","83.36","83.36"
"1392","83.47","83.47","83.47"
"1393","82.84","82.84","82.84"
"1394","83.06","83.06","83.06"
"1395","82.29","82.29","82.29"
"1396","83.67","83.67","83.67"
"1397","83.02","83.02","83.02"
"1398","82.73","82.73","82.73"
"1399","83.2","83.2","83.2"
"1400","83.88","83.88","83.88"
"1401","83.51","83.51","83.51"
"1402","83.64","83.64","83.64"
"1403","82.97","82.97","82.97"
"1404","83.21","83.21","83.21"
"1405","83.46","83.46","83.46"
"1406","83.37","83.37","83.37"
"1407","82.88","82.88","82.88"
"1408","83.65","83.65","83.65"
"1409","83.23","83.23","83.23"
"1410","82.39","82.39","82.39"
"1411","83.73","83.73","83.73"
"1412","82.54","82.54","82.54"
"1413","83.67","83.67","83.67"
"1414","83.27","83.27","83.27"
"1415","83.18","83.18","83.18"
"1416","83.39","83.39","83.39"
"1417","83.21","83.21","83.21"
"1418","82.96","82.96","82.96"
"1419","83.9","83.9","83.9"
"1420","83.32","83.32","83.32"
"1421","83.83","83.83","83.83"
"1422","83.26","83.26","83.26"
"1423","83.08","83.08","83.08"
"1424","83.81","83.81","83.81"
"1425","83.44","83.44","83.44"
"1426","83.44","83.44","83.44"
"1427","83.28","83.28","83.28"
"1428","83.47","83.47","83.47"
"1429","82.68","82.68","82.68"
"1430","83.1","83.1","83.1"
"1431","82.6","82.6","82.6"
"1432","83.78","83.78","83.78"
"1433","83.31","83.31","83.31"
"1434","82.4","82.4","82.4"
"1435","83.27","83.27","83.27"
"1436","83.36","83.36","83.36"
"1437","82.78","82.78","82.78"
"1438","83.18","83.18","83.18"
"1439","83.66","83.66","83.66"
"1440","83.41","83.41","83.41"
"1441","83.45","83.45","83.45"
"1442","83.21","83.21","83.21"
"1443","82.71","82.71","82.71"
"1444","82.97","82.97","82.97"
"1445","83.56","83.56","83.56"
"1446","83.69","83.69","83.69"
"1447","83.46","83.46","83.46"
"1448","83.17","83.17","83.17"
"1449","83.39","83.39","83.39"
"1450","83.28","83.28","83.28"
"1451","82.72","82.72","82.72"
"1452","83.27","83.27","83.27"
"1453","84.04","84.04","84.04"
"1454","82.45","82.45","82.45"
"1455","83.03","83.03","83.03"
"1456","83.51","83.51","83.51"
"1457","83.49","83.49","83.49"
"1458","83.61","83.61","83.61"
"1459","82.95","82.95","82.95"
"1460","82.56","82.56","82.56"
"1461","83.49","83.49","83.49"
"1462","83.46","83.46","83.46"
"1463","83.12","83.12","83.12"
"1464","84.16","84.16","84.16"
"1465","83.12","83.12","83.12"
"1466","83.4","83.4","83.4"
"1467","83.77","83.77","83.77"
"1468","83.76","83.76","83.76"
"1469","83.06","83.06","83.06"
"1470","82.9","82.9","82.9"
"1471","83.8","83.8","83.8"
"1472","83.14","83.14","83.14"
"1473","82.85","82.85","82.85"
"1474","82.81","82.81","82.81"
"1475","83.46","83.46","83.46"
"1476","83.54","83.54","83.54"
"1477","83.21","83.21","83.21"
"1478","83.57","83.57","83.57"
"1479","83.37","83.37","83.37"
"1480","83.45","83.45","83.45"
"1481","82.9","82.9","82.9"
"1482","82.77","82.77","82.77"
"1483","83.56","83.56","83.56"
"1484","84.45","84.45","84.45"
"1485","82.91","82.91","82.91"
"1486","83.18","83.18","83.18"
"1487","83.19","83.19","83.19"
"1488","83.24","83.24","83.24"
"1489","83.52","83.52","83.52"
"1490","83.48","83.48","83.48"
"1491","83.47","83.47","83.47"
"1492","82.89","82.89","82.89"
"1493","83.13","83.13","83.13"
"1494","83.47","83.47","83.47"
"1495","83.97","83.97","83.97"
"1496","82.83","82.83","82.83"
"1497","83.58","83.58","83.58"
"1498","83.55","83.55","83.55"
"1499","83.04","83.04","83.04"
"1500","83.07","83.07","83.07"
"1501","83.67","83.67","83.67"
"1502","83.67","83.67","83.67"
"1503","83.58","83.58","83.58"
"1504","83.2","83.2","83.2"
"1505","83.82","83.82","83.82"
"1506","83.68","83.68","83.68"
"1507","83.86","83.86","83.86"
"1508","83.81","83.81","83.81"
"1509","83.55","83.55","83.55"
"1510","83.2","83.2","83.2"
"1511","82.65","82.65","82.65"
"1512","83.5","83.5","83.5"
"1513","82.81","82.81","82.81"
"1514","83.4","83.4","83.4"
"1515","83.08","83.08","83.08"
"1516","83.14","83.14","83.14"
"1517","83.57","83.57","83.57"
"1518","84.2","84.2","84.2"
"1519","83.4","83.4","83.4"
"1520","83.04","83.04","83.04"
"1521","84.23","84.23","84.23"
"1522","83.26","83.26","83.26"
"1523","82.99","82.99","82.99"
"1524","83.4","83.4","83.4"
"1525","83.59","83.59","83.59"
"1526","84.08","84.08","84.08"
"1527","83.71","83.71","83.71"
"1528","83.58","83.58","83.58"
"1529","83.06","83.06","83.06"
"1530","83.38","83.38","83.38"
"1531","83.35","83.35","83.35"
"1532","83.25","83.25","83.25"
"1533","83.55","83.55","83.55"
"1534","83.41","83.41","83.41"
"1535","83.07","83.07","83.07"
"1536","84.37","84.37","84.37"
"1537","83.06","83.06","83.06"
"1538","83.66","83.66","83.66"
"1539","83.46","83.46","83.46"
"1540","82.91","82.91","82.91"
"1541","83.52","83.52","83.52"
"1542","83.29","83.29","83.29"
"1543","84.17","84.17","84.17"
"1544","83.43","83.43","83.43"
"1545","83.86","83.86","83.86"
"1546","83.29","83.29","83.29"
"1547","82.91","82.91","82.91"
"1548","83.17","83.17","83.17"
"1549","83.34","83.34","83.34"
"1550","82.62","82.62","82.62"
"1551","83.61","83.61","83.61"
"1552","83.56","83.56","83.56"
"1553","83.77","83.77","83.77"
"1554","83.35","83.35","83.35"
"1555","83.44","83.44","83.44"
"1556","84.01","84.01","84.01"
"1557","84.72","84.72","84.72"
"1558","82.97","82.97","82.97"
"1559","84.18","84.18","84.18"
"1560","83.09","83.09","83.09"
"1561","83.75","83.75","83.75"
"1562","83.11","83.11","83.11"
"1563","83.82","83.82","83.82"
"1564","83.84","83.84","83.84"
"1565","83.14","83.14","83.14"
"1566","83.42","83.42","83.42"
"1567","83.23","83.23","83.23"
"1568","83.34","83.34","83.34"
"1569","83.52","83.52","83.52"
"1570","83.55","83.55","83.55"
"1571","84.3","84.3","84.3"
"1572","83.82","83.82","83.82"
"1573","83.44","83.44","83.44"
"1574","82.99","82.99","82.99"
"1575","83.2","83.2","83.2"
"1576","83.52","83.52","83.52"
"1577","83.55","83.55","83.55"
"1578","82.89","82.89","82.89"
"1579","83.99","83.99","83.99"
"1580","83.63","83.63","83.63"
"1581","84.6","84.6","84.6"
"1582","83.22","83.22","83.22"
"1583","83.89","83.89","83.89"
"1584","84.16","84.16","84.16"
"1585","83.06","83.06","83.06"
"1586","83.64","83.64","83.64"
"1587","84.07","84.07","84.07"
"1588","83.23","83.23","83.23"
"1589","83.59","83.59","83.59"
"1590","82.55","82.55","82.55"
"1591","84.06","84.06","84.06"
"1592","83.55","83.55","83.55"
"1593","83.55","83.55","83.55"
"1594","83.58","83.58","83.58"
"1595","83.35","83.35","83.35"
"1596","83.17","83.17","83.17"
"1597","83.22","83.22","83.22"
"1598","84.11","84.11","84.11"
"1599","84.01","84.01","84.01"
"1600","83.98","83.98","83.98"
"1601","83.52","83.52","83.52"
"1602","83.91","83.91","83.91"
"1603","82.88","82.88","82.88"
"1604","83.65","83.65","83.65"
"1605","84.39","84.39","84.39"
"1606","83.72","83.72","83.72"
"1607","83.74","83.74","83.74"
"1608","83.89","83.89","83.89"
"1609","83.81","83.81","83.81"
"1610","83.15","83.15","83.15"
"1611","83.53","83.53","83.53"
"1612","83.81","83.81","83.81"
"1613","83.16","83.16","83.16"
"1614","83.69","83.69","83.69"
"1615","83.39","83.39","83.39"
"1616","84","84","84"
"1617","83.04","83.04","83.04"
"1618","83.33","83.33","83.33"
"1619","83.4","83.4","83.4"
"1620","84.2","84.2","84.2"
"1621","83.78","83.78","83.78"
"1622","83.36","83.36","83.36"
"1623","83.64","83.64","83.64"
"1624","83.11","83.11","83.11"
"1625","83.53","83.53","83.53"
"1626","83.86","83.86","83.86"
"1627","83.73","83.73","83.73"
"1628","83.14","83.14","83.14"
"1629","83.85","83.85","83.85"
"1630","84.01","84.01","84.01"
"1631","83.7","83.7","83.7"
"1632","83.75","83.75","83.75"
"1633","83.64","83.64","83.64"
"1634","83.71","83.71","83.71"
"1635","83.61","83.61","83.61"
"1636","83.32","83.32","83.32"
"1637","83.52","83.52","83.52"
"1638","84.14","84.14","84.14"
"1639","84.6","84.6","84.6"
"1640","83.98","83.98","83.98"
"1641","83.72","83.72","83.72"
"1642","83.15","83.15","83.15"
"1643","83.21","83.21","83.21"
"1644","83.49","83.49","83.49"
"1645","84.28","84.28","84.28"
"1646","83.28","83.28","83.28"
"1647","83.71","83.71","83.71"
"1648","83.1","83.1","83.1"
"1649","83.53","83.53","83.53"
"1650","83.7","83.7","83.7"
"1651","83.99","83.99","83.99"
"1652","83.51","83.51","83.51"
"1653","83.85","83.85","83.85"
"1654","84.42","84.42","84.42"
"1655","83.61","83.61","83.61"
"1656","84.12","84.12","84.12"
"1657","84.33","84.33","84.33"
"1658","83.61","83.61","83.61"
"1659","84.29","84.29","84.29"
"1660","82.97","82.97","82.97"
"1661","83.72","83.72","83.72"
"1662","84.11","84.11","84.11"
"1663","84.4","84.4","84.4"
